current_path,target_path,current_name,target_name,family,reason,meta_guid
"Assets/Sprites/Residential/LightResidentialZoning_SWUpSlope.png","Assets/Sprites/Residential/LightResidentialZoning_SWUpSlope.png","LightResidentialZoning_SWUpSlope.png","light-residential-zoning-sw-up-slope.png","residential","family-inferred","54fe886ea27af4ae9b53c79911e86e65"
"Assets/Sprites/Residential/LightResidentialZoning_WSlope.png","Assets/Sprites/Residential/LightResidentialZoning_WSlope.png","LightResidentialZoning_WSlope.png","light-residential-zoning-w-slope.png","residential","family-inferred","4b054cfe3b2504665807bb07df489b00"
"Assets/Sprites/Residential/MediumResidentialBuilding-2-128.png","Assets/Sprites/Residential/MediumResidentialBuilding-2-128.png","MediumResidentialBuilding-2-128.png","medium-residential-building-2-128.png","residential","family-inferred","5c1acd6a252fc4c379a8e962ac0f66d2"
"Assets/Sprites/Residential/Residential-assets.png","Assets/Sprites/Residential/Residential-assets.png","Residential-assets.png","residential-assets.png","residential","family-inferred","b64b326c3d49240ee8558b3f4cb15da5"
"Assets/Sprites/Residential/Residential-heavy-zoning-64.png","Assets/Sprites/Residential/Residential-heavy-zoning-64.png","Residential-heavy-zoning-64.png","residential-heavy-zoning-64.png","residential","family-inferred","2bc91073ff7cd49d2a5eca0f2c6d487b"
"Assets/Sprites/Residential/Residential-light-zoning-64.png","Assets/Sprites/Residential/Residential-light-zoning-64.png","Residential-light-zoning-64.png","residential-light-zoning-64.png","residential","family-inferred","34135603a4f1b477bb95e4d6c3afeb4a"
"Assets/Sprites/Residential/Residential-medium-building-64-2.png","Assets/Sprites/Residential/Residential-medium-building-64-2.png","Residential-medium-building-64-2.png","residential-medium-building-64-2.png","residential","family-inferred","c448848b536ba4a968dd28efe9466310"
"Assets/Sprites/Residential/Residential-medium-zoning-64.png","Assets/Sprites/Residential/Residential-medium-zoning-64.png","Residential-medium-zoning-64.png","residential-medium-zoning-64.png","residential","family-inferred","d01ced24bf4ab4a41a191ee660ec2063"
"Assets/Sprites/Residential/Residential-zoning-64.png","Assets/Sprites/Residential/Residential-zoning-64.png","Residential-zoning-64.png","residential-zoning-64.png","residential","family-inferred","ada76e2b1f1854f0a82e09384271cbfb"
"Assets/Sprites/Residential-button-64-pressed.png","Assets/Sprites/Residential/Residential-button-64-pressed.png","Residential-button-64-pressed.png","residential-button-64-pressed.png","residential","family-inferred","402f4eb4cdfce4fb3aba8ef813877d99"
"Assets/Sprites/Residential-button-64-target.png","Assets/Sprites/Residential/Residential-button-64-target.png","Residential-button-64-target.png","residential-button-64-target.png","residential","family-inferred","8f05c0adac9a3452689b3792ec390f2e"
"Assets/Prefabs/Residential/HeavyResidentialBuilding-1-64.prefab","Assets/Prefabs/Residential/HeavyResidentialBuilding-1-64.prefab","HeavyResidentialBuilding-1-64.prefab","heavy-residential-building-1-64.prefab","residential","family-inferred","1b58f95b34f214f64a3f0a6f1a84e8bb"
