current_path,target_path,current_name,target_name,family,reason,meta_guid
"Assets/Sprites/Buttons/Speed-4-button-1-64-pressed.png","Assets/Sprites/Buttons/speed-4-button-1-64-pressed.png","Speed-4-button-1-64-pressed.png","speed-4-button-1-64-pressed.png","ui","family-inferred","d9b44f75be32f442892db63bb9763619"
"Assets/Sprites/Buttons/Speed-4-button-1-64-target.png","Assets/Sprites/Buttons/speed-4-button-1-64-target.png","Speed-4-button-1-64-target.png","speed-4-button-1-64-target.png","ui","family-inferred","3c4f2a86309834ac68a7cc4b98f46ca1"
"Assets/Sprites/Buttons/Stats-button-64-pressed.png","Assets/Sprites/Buttons/stats-button-64-pressed.png","Stats-button-64-pressed.png","stats-button-64-pressed.png","ui","family-inferred","27e08fa7ff3304a7b8ce498604c5c6e5"
"Assets/Sprites/Buttons/Stats-button-64-target.png","Assets/Sprites/Buttons/stats-button-64-target.png","Stats-button-64-target.png","stats-button-64-target.png","ui","family-inferred","fe483338c27124032966e165f89e308b"
"Assets/Sprites/Buttons/Zoom-in-button-1-64-pressed.png","Assets/Sprites/Buttons/zoom-in-button-1-64-pressed.png","Zoom-in-button-1-64-pressed.png","zoom-in-button-1-64-pressed.png","ui","family-inferred","f5c2b03a79a4f4a2fb267f04422899b2"
"Assets/Sprites/Buttons/Zoom-in-button-1-64-target.png","Assets/Sprites/Buttons/zoom-in-button-1-64-target.png","Zoom-in-button-1-64-target.png","zoom-in-button-1-64-target.png","ui","family-inferred","45dd9c9bfb832488d82b2004c81bbe92"
"Assets/Sprites/Buttons/Zoom-out-button-1-64-pressed.png","Assets/Sprites/Buttons/zoom-out-button-1-64-pressed.png","Zoom-out-button-1-64-pressed.png","zoom-out-button-1-64-pressed.png","ui","family-inferred","7ef8e0d51c4da44ebb5c762068eb14c1"
"Assets/Sprites/Buttons/Zoom-out-button-1-64-target.png","Assets/Sprites/Buttons/zoom-out-button-1-64-target.png","Zoom-out-button-1-64-target.png","zoom-out-button-1-64-target.png","ui","family-inferred","f940d768d17f94269bb900b49456607b"
"Assets/Sprites/Cliff/CliffEast.png","Assets/Sprites/Cliff/cliff-east.png","CliffEast.png","cliff-east.png","terrain","family-inferred","540bcc41c7ff147a19351715e6545c42"
"Assets/Sprites/Cliff/CliffSouth.png","Assets/Sprites/Cliff/cliff-south.png","CliffSouth.png","cliff-south.png","terrain","family-inferred","57ce6513fddef496b9ef230e4ba57007"
"Assets/Sprites/Commercial/Commercial-button-64-pressed.png","Assets/Sprites/Commercial/commercial-button-64-pressed.png","Commercial-button-64-pressed.png","commercial-button-64-pressed.png","commercial","family-inferred","fe54dd5b0955846bcb713c62cb9418c9"
"Assets/Sprites/Commercial/Commercial-button-64-target.png","Assets/Sprites/Commercial/commercial-button-64-target.png","Commercial-button-64-target.png","commercial-button-64-target.png","commercial","family-inferred","009fd3daa3f624a7fbaac9c0b1919f40"
"Assets/Sprites/Commercial/Commercial-heavy-zoning-64.png","Assets/Sprites/Commercial/commercial-heavy-zoning-64.png","Commercial-heavy-zoning-64.png","commercial-heavy-zoning-64.png","commercial","family-inferred","3acbea86c09784331bac2d88984f3ee0"
"Assets/Sprites/Commercial/Commercial-light-zoning-64.png","Assets/Sprites/Commercial/commercial-light-zoning-64.png","Commercial-light-zoning-64.png","commercial-light-zoning-64.png","commercial","family-inferred","0a4757295c3c349568f776e9fa4b0034"
"Assets/Sprites/Commercial/Commercial-medium-building-64-1.png","Assets/Sprites/Commercial/commercial-medium-building-64-1.png","Commercial-medium-building-64-1.png","commercial-medium-building-64-1.png","commercial","family-inferred","6a4ef662668a14e0cb4ddfc73e0b4308"
"Assets/Sprites/Commercial/Commercial-medium-zoning-64.png","Assets/Sprites/Commercial/commercial-medium-zoning-64.png","Commercial-medium-zoning-64.png","commercial-medium-zoning-64.png","commercial","family-inferred","40884ea0b87134225899bbdb75b0382e"
"Assets/Sprites/Commercial/Commerciall-zoning-64.png","Assets/Sprites/Commercial/commerciall-zoning-64.png","Commerciall-zoning-64.png","commerciall-zoning-64.png","commercial","family-inferred","d745fa4a56fd94b65bb55f001b3c7fce"
"Assets/Sprites/Commercial/DenseCommercial-tall.png","Assets/Sprites/Commercial/dense-commercial-tall.png","DenseCommercial-tall.png","dense-commercial-tall.png","commercial","family-inferred","bae61bcab086541eb9388ebc9f47d5d5"
